id,SourceBook,PageNoStart,PageNoEnd,SurahNo,Ayah,ScientificTopicTextEnglish,Volume,ScientificTopicTextArabic,TafsirID
1,Tafsir Ayat Al Konia,63,70,2,19,"A detailed exposition on the known types of winds, an explanation of the formation of rain-bearing clouds, their composition, and the emergence of lightning and thunder from them, along with the darkness that accompanies this phenomenon. This is likened to the state of disbelievers and Jews in their misguidance, error, and darkness through this cosmic sign.",1,تفصيل لأنواع الرياح المعروفة، وشرح تكوّن السحب الحاملة للأمطار، وتألفها، وخروج البرق والرعد منها، والظلمة التى تصاحب ذلك.. وتشبيه موقف الكفار واليهود من الضلال والغي والظلام بهذه الآية,TAAK_1_2_19
2,Tafsir Ayat Al Konia,71,78,2,22,"The process by which rain descends upon the earth is described, illustrating how it transforms and yields fruits as sustenance for all living beings that inhabit it.",1,فرش الأرض وتمهيدها، وبناء السماء وإحكامها، وإنزال الماء منها، وبتساقطه على الأرض كيف تتحول ويخرج منها الثمرات رزقا لكل الأحياء التى تعيش عليها؟,TAAK_1_2_22
3,Tafsir Ayat Al Konia,79,86,2,26,"There is a reference to the mosquito, one of the simplest insects, highlighting its remarkable construction and precise creation, which all of humanity is incapable of replicating. It also underscores its threat to human life, as it is considered today one of the most dangerous pest insects.",1,الإشارة إلى البعوضة، وهى من أبسط الحشرات، وكيف أنها تبلغ فى روعة بنائها، ودقة خلقها ما تعجز البشرية كلها عن الإتيان بشىء مثلها، كما تبلغ فى خطرها على حياة الإنسان أنها تُعد اليوم واحدة من أخطر الآفات الحشرية على الإطلاق,TAAK_1_2_26
4,Tafsir Ayat Al Konia,87,98,2,29,"An explanation of the creation of the heavens, and how scientists perceive the creation of the heavens and the earth in six days (six stages).",1,شرح وبيان كيف خلق الله الأرض، والسماوات سواهن سبع سماوات، وشرح كيف يرى العلماء خلق السماوات والأرض فى ست أيام (ست مراحل),TAAK_1_2_29
5,Tafsir Ayat Al Konia,99,104,2,57,"Explanation of the wisdom behind sending down Manna and Salwa (Quails) to the Children of Israel... and a statement of their benefits, and how together they constitute a complete food for humans.",1,شرح الحكمة من إنزال المن والسلوى على بنى إسرائيل.. وبيان فائدتهما، وكيف يكونان معًا غذاء كاملا للإنسان,TAAK_1_2_57
6,Tafsir Ayat Al Konia,105,114,2,74,"An elucidation of the physical hardness of stones and the metaphorical hardness of the hearts of the Jews. Additionally, it clarifies the water- related properties of stones and their role in softening their hardness. A clear distinction is made between the varying water characteristics of the earth's soil and its stones and rocks. Furthermore, it explains the types of water stored beneath the earth's surface.",1,شرح للقسوة المادية للحجارة، والقسوة المعنوية لقلوب اليهود. كذلك بيان الخصائص المائية للحجارة، ودورها فى تليين قسوتها. والتفريق الواضح لتباين الصفات المائية لتربة الأرض وحجارتها وصخورها. كذلك بيان أنواع الماء المخزون تحت سطح الأرض,TAAK_1_2_74
7,Tafsir Ayat Al Konia,115,120,2,222,"What is Prohibited from a Woman in Islam: The Religion of Moderation During Her Menstruation, and the Affirmation of Menstrual Harm.",1,ما يحرم من المرأة فى الإسلام ــ دين الوسطية ــ أثناء حيضها، وإثبات أذى المحيض,TAAK_1_2_222
8,Tafsir Ayat Al Konia,121,126,2,265,"How the unevenness of the earth and its varying elevations have provided a vast number of environments, each suitable for specific forms of life.",1,كيف أدى عدم استواء الأرض وتباين مناسيبها إلى توفير عدد هائل من البيئات التى يتناسب كل منها مع أنواع محددة من صور الحياة,TAAK_1_2_265
9,Tafsir Ayat Al Konia,131,138,3,6,"How Allah (Glorified and Exalted be He) forms embryos in the wombs of their mothers as He wills, and how modern embryology has reached an understanding of these processes.",1,كيفية تصوير الله (سبحانه وتعالى) للأجنة فى بطون أمهاتها كيف يشاء.. وكيف وصل علم الأجنة الحديث لكل ذلك,TAAK_1_3_6
10,Tafsir Ayat Al Konia,139,148,3,59,"An exposition of the extreme complexity in the construction of cells and their genetic code, and the precision and magnificence in the creation of the Children of Adam, whose bodily composition aligns with the earth.",1,"بيان للتعقيد الشديد فى بناء الخلايا، وكذلك شفرتها الوراثية، ودقة وروعة خلق بنى آدم، والذى يتطابق تحليل جسمه مع التراب, ",TAAK_1_3_59
11,Tafsir Ayat Al Konia,149,152,3,97,The scientific and sensory evidence of the sanctity of the Noble Sacred Mosque in Mecca.,1, الدلائل العلمية والحسية على كرامة الحرم المكى الشريف,TAAK_1_3_97
12,Tafsir Ayat Al Konia,157,164,4,1,"How modern studies and discoveries in genetic sciences support the truth that all people are created from a single soul, which Allah (Glorified and Exalted be He) created from dust.",1,كيف تدعم الدراسات، والمكتشفات الحديثة لعلوم الوراثة حقيقة خلق الناس جميعا من نفس واحدة، خلقها الله (سبحانه وتعالى) من تراب,TAAK_1_4_1
13,Tafsir Ayat Al Konia,165,170,4,56,"How human skin protects the cells, tissues, and internal organs, providing each individual with their shape and color, and how the skin performs many important functions. The explanation of these functions, and how the complete destruction of human skin through severe burns or widespread injuries can lead to death.",1,كيف يحمى جلد الإنسان خلاياه وأنسجته وأعضاءه الداخلية، ويعطى لكل فرد منا شكله ولونه، وكيف يقوم جلد الإنسان بالعديد من الوظائف المهمة، مع بيان هذه الوظائف، وكيف يؤدى تدمير جلد الإنسان عن طريق الحرق الكامل أو الجروح العامة الواسعة الانتشار فى الجسم إلى الوفاة,TAAK_1_4_56
14,Tafsir Ayat Al Konia,171,178,4,119,"The meaning of the cloning process, the accompanying dangers, and how the benefits of genetic engineering sciences are transformed into significant risks to the divine nature of the creation of all creatures, rendering such endeavors futile as they lead only to harm.",1,المقصود من عملية الاستنساخ، والأخطار المصاحبة لها، وكيف تتبدل فائدة الانتفاع بعلوم الهندسة الوراثية ــ بعمليات الاستنساخ ــ إلى مخاطر جمة للطبيعة الربانية لخلق كل المخلوقات، وعبث ذلك كله ؛ لأنه لا يؤدى إلا إلى الأذى,TAAK_1_4_119
15,Tafsir Ayat Al Konia,183,190,5,17,"The concept of place and time within the boundaries that separate the heavens, The earth and the clouds, which are subjugated within this realm, along with the various creatures therein, illustrate the division of the earth's gaseous envelope.",1,المكان والزمان فى حدود النطاق الذى يفصل بين السماوات والأرض، والسحاب المسخر فى هذا النطاق، والمخلوقات المختلفة فيه. بيان تقسيم الغلاف الغازى للأرض,TAAK_1_5_17
16,Tafsir Ayat Al Konia,191,196,5,31,"An explanation of why the crow, specifically, was chosen over other birds and animals to teach ""Qabil"" how to conceal his brother's corpse, with science affirming that it is the most intelligent of birds.",1,شرح لكيفية اختيار الغراب بالذات ــ دون غيره من الطيور والحيوانات ــ لتعليم « قابيل » كيف يوارى سوءة أخيه، والعلم أثبت أنه أذكى الطيور على الإطلاق,TAAK_1_5_31
17,Tafsir Ayat Al Konia,203,208,6,1,"The realization by scholars of the universe's expansion led to the validation of the Big Bang theory; and an exposition of the different and successive stages of the universe's formation and development, based on theoretical calculations by scientists. This includes an explanation of the various darknesses created by Allah (Glorified and Exalted be He).",1,إدراك العلماء لحقيقة توسع الكون أدى لإثبات نظرية الانفجار العظيم، وبيان المراحل المختلفة والمتتالية لتكوّن وتطور الكون، وذلك بناء على حسابات نظرية للعلماء. وبيان الظلمات المختلفة التى خلقها الله (جل وعلا),TAAK_1_6_1
18,Tafsir Ayat Al Konia,209,216,6,38,"An explanation and proof that the creation of all forms of life occurred in communities similar to human gatherings, originating from a single father and mother, and then connecting into a single nation.",1,شرح وإثبات أن كل خلق كل صور الحياة قد تم فى تجمعات شبيهة بالتجمعات الإنسانية فى انبثاقها عن أب واحد وأم واحدة، ثم تترابط فى أمة واحدة..,TAAK_1_6_38
19,Tafsir Ayat Al Konia,217,222,6,92,An exposition and explanation proving the central location of Makkah in relation to the landmasses.,1,بيان وشرح وإثبات توسط موقع مكة المكرمة لليابسة,TAAK_1_6_92
20,Tafsir Ayat Al Konia,223,230,6,95,"A clarification of the difference in naming seeds as ""habb"" or ""nawa"", and how the splitting of the ""habb"" or ""nawa"" (or the germination of seeds) occurs, along with the necessary conditions for this process.",1,بيان الفرق فى تسمية البذور بالحب أو النوى، وكيفية فلق الحب أو النوى (أو إنبات البذور) والشروط اللازمة لذلك,TAAK_1_6_95
21,Tafsir Ayat Al Konia,231,236,6,96,"An explanation of how both the sun and the moon move with extreme precision, in accordance with the calculation of time, the dating of events, and the fulfillment of rights, duties, and acts of worship at their legally prescribed times.",1,شرح كيفية جريان كل من الشمس والقمر بشكل محسوب بدقة بالغة، مما يعين على حساب الزمن، والتأريخ للأحداث، وأداء الحقوق والواجبات والعبادات فى أوقاتها المحسوبة شرعا,TAAK_1_6_96
22,Tafsir Ayat Al Konia,237,242,6,99,"The process of rainfall and the factors leading to the formation of clouds and the descent of rain from them, and the germination of the earth's soil into various types of plants due to this rainfall. An explanation of the different botanical processes, which in turn lead to the growth of diverse colors and flavors, despite the occurrence of these phenomena.",1,كيفية نزول الأمطار، والعوامل التى تؤدى إلى تكوّن السحب ونزول الأمطار منها، وإنبات تربة الأرض لكافة صنوف النباتات من نزول هذه الأمطار عليها. وشرح العمليات النباتية المختلفة، والتى تؤدى بدورها إلى إنبات مختلف الألوان والطعوم، وذلك على الرغم من حدوث ذلك فى نفس التربة وينفس الماء,TAAK_1_6_99
23,Tafsir Ayat Al Konia,243,250,6,99,"The display of the awe-inspiring divine power in bringing forth various green plants; from them emerge layered grains, as well as date palms, grapes, pomegranates, olives, and other varieties. From all of these, humans find their essential sustenance, and their livestock require them for fodder.",1,استعراض القدرة الإلهية المبهرة فى إخراج نباتات مختلفة خضراء، منها تخرج الحبوب المتراكبة، النخل والأعناب والرمان والزيتون وأصناف أخرى، منها كلها يجد الإنسان حاجته فى طعامه الأساسى، وتحتاجه أنعامه فى علفها,TAAK_1_6_99
24,Tafsir Ayat Al Konia,251,260,6,102,"An explanation of how duality exists in everything within the universe that Allah (Glorified and Exalted be He) has brought into existence and created. This duality is one of the fundamental factors for the continuity of the universe with all its creatures, allowing our Lord (Majestic and Sublime) to be uniquely singular in His absolute oneness.",1,شرح كيف تكون الزوجية فى كل شىء فى الكون الذى أوجده وخلقه الله (سبحانه وتعالى) من العوامل الأساسية لاستمرار وجود الكون بكل مخلوقاته.. لينفرد ربنا (جل وعلا) بالوحدانية المطلقة,TAAK_1_6_102
25,Tafsir Ayat Al Konia,261,268,6,125,"An explanation of the division of the atmosphere surrounding the earth, and an exposition of how each of these divisions is suitable for life within them.",1,شرح تقسيم الغلاف الجوى المحيط بالأرض، وبيان مدى مواءمة كل من هذه الأقسام للحياة فيها,TAAK_1_6_125
26,Tafsir Ayat Al Konia,277,286,7,54,An elucidation of the meaning of the six days (or six stages) during which Allah (Glorified and Exalted be He) created the heavens and the earth.,1,بيان مدلول الأيام الستة (أو المراحل الست) التى خلق فيها الله (سبحانه وتعالى) السماوات والأرض,TAAK_1_7_54
27,Tafsir Ayat Al Konia,287,294,7,54,"How the darkness of night gradually covers the light of day, and an explanation of this occurrence, as it is evidence of the earth's spherical shape and its rotation around its axis in front of the sun, completing a full rotation every 24-hour day.",1,كيف تغطى ظلمة الليل نور النهار تدريجيا، وشرح حدوث ذلك ؛ لأنه دليل على كروية الأرض، ودورانها حول محورها أمام الشمس دورة كاملة فى كل يوم مدته ٢٤ ساعة,TAAK_1_7_54
28,Tafsir Ayat Al Konia,295,302,7,57,"The sending of the winds; their constant movement around the earth in different directions and altitudes, with a motion entirely independent of the earth, despite being connected to it.",1,إرسال الرياح، وحركتها الدائمة حول الأرض باتجاهات وارتقاعات مختلفة، وذلك بحركة مستقلة تماما عن الأرض، بالرغم من ارتباطها بالأرض,TAAK_1_7_57
29,Tafsir Ayat Al Konia,303,310,7,133,"An explanation of the mixture of punishments that our Lord (Blessed and Exalted be He) inflicted upon Pharaoh, his people, and his soldiers; and a description of how this punishment occurred, from the flood to the locusts and lice, to the frogs and blood.",1,شرح لخليط العذاب الذى أنزله ربنا (تبارك وتعالى) على فرعون وآله وجنوده، وشرح لكيفية حدوث هذا العذاب من الطوفان إلى الجراد والقمل، إلى الضفادع والدم,TAAK_1_7_133
30,Tafsir Ayat Al Konia,311,316,7,176,"A scientific explanation of the panting of the dog, being the only animal that pants in an almost continuous manner, in order to cool its body, which lacks sweat glands except on the soles of its feet; thus, it pants in conditions of heat. Severe thirst, physical or psychological illness, exhaustion, panic, andagitation are discussed, along with an explanation of the anatomicalcharacteristics of a dog's senses.",1,شرح علمى للهث الكلب، وكونه الحيوان الوحيد الذى يلهث بطريقة تكاد تكون مستمرة، وذلك لتبريد جسمه الخالى من الغدد العرقية إلا فى باطن أقدامه فقط، فيقوم بهذا اللهاث فى حالات الحر،  أو العطش الشديد، أو المرض العضوى، أو النفسى، أو الإجهاد، أو الفزع والاستثارة. وشرح الصفات التشريحية لحواس الكلب,TAAK_1_7_176
31,Tafsir Ayat Al Konia,321,328,9,36,"The distinction between lunar and solar months, the relationship between the Earth's rotation on its axis, the Moon's orbit around the Earth, and their joint orbit around the Sun is elucidated. This includes how the variation between lunar and solar months occurs, and the precise relationship of these rotational movements, fundamentally linked to the regulation of the masses, sizes, and velocities of the Earth. It demonstrates that the lunar year—comprising twelve months—is the basis for determining the various times of worship for Muslims.",1,الفرق بين الشهور القمرية والشمسية، والعلاقة بين دوران الأرض حول نفسها ودوران القمر حولها، ودورانهما معا حول الشمس، وكيفية حدوث التباين بين الشهور القمرية والشمسية، والعلاقة المنضبطة لكل هذه الحركات الدورانية. وهى المرتبطة أساسا بانضباط كتل وأحجام وسرعات الأرض، والتدليل على أن السنة القمرية ــ البالغة اثنى عشر شهرا ــ هى أساس تحديد أوقات العبادات المختلفة للمسلمين,TAAK_1_9_36
32,Tafsir Ayat Al Konia,333,340,10,5,"A clear differentiation between light and illumination is made, identifying the sources of light reaching us on Earth's surface from outer space, as well as the sources of reflected illumination. It is explained how darkness is the fundamental state of the universe.",1,التفريق الواضح بين كل من الضياء والنور، وتحديد مصادر الضوء الواصلة إلينا على سطح الأرض من الفضاء الخارجى، كذلك مصادر النور المنعكس إلينا منه، وشرح كيف أن الظلمة هى الأساس فى الكون,TAAK_1_10_5
33,Tafsir Ayat Al Konia,347,354,11,44,"The correct conclusion is reached that all the Earth's water was brought forth by Allah (Exalted is He) from within the Earth, through volcanic vents. Various studies aim to determine the location where the Ark of Noah (peace be upon him) came to rest on land.",1,التوصل إلى الاستنتاج الصحيح بأن كل ماء الأرض قد أخرجه الله (تعالى) من باطن الأرض، من فوهات البراكين، والدراسات المختلفة لتحديد موقع رسو سفينة « نوح » (عليه السلام) على اليابسة,TAAK_1_11_44
34,Tafsir Ayat Al Konia,361,366,12,4,"The Quranic cosmic reference to the number of planets in the solar system is noted, specifying them as eleven planets, and how astronomical studies and research have arrived at the same number (eleven planets).",1,الإشارة الكونية فى القرآن الكريم لعدد كواكب المجموعة الشمسية، وتحديدها بأحد عشر كوكبا، وكيف توصلت الدراسات والأبحاث الفلكية إلى نفس الرقم (أحد عشر كوكبا),TAAK_1_12_4
35,Tafsir Ayat Al Konia,367,372,12,47,"It is proven that the best method for storing plant crops that are produced in ears, such as wheat, barley, and rice, is to preserve them in the ears created by Allah (Glorified and Exalted is He).",1,إثبات أن أحسن طريقة لتخزين المحاصيل النباتية التى تنتج فى سنابل كالقمح والشعير والأرز، هى حفظها فى سنابلها التى خلقها الله (سبحانه وتعالى) فيها,TAAK_1_12_47
36,Tafsir Ayat Al Konia,379,388,13,2,"Cosmic studies that indicate the presence of unseen and hidden forces are referenced. The Fundamental Building Blocks of Matter: These include the strong and weaknuclear forces, electromagnetic forces, and gravitational forces. Theunification of these forces present in the universe leads to the theory of""Grand Unification"" and the cohesion of the cosmos.",1,الدراسات الكونية التى تشير إلى القوى غير المرئية والمستترة فى اللبنات الأولية للمادة، كالقوى النووية القوية والضعيفة، والقوى الكهرومغناطيسية، وقوى الجاذبية، وتوحيد هذه القوى الموجودة فى الكون وصولا إلى نظرية «الخيوط العظمى» وكيفية تماسك الكون,TAAK_1_13_2
37,Tafsir Ayat Al Konia,389,398,13,2,"The Aspects of Harnessing the Sun to Regulate the Movement of Life on Earth: This includes the utilization of the moon, with its changing phases, to divide the month into weeks and days, and also employing the moon as a means to facilitate the processes of tides.",1,جوانب تسخير الشمس من أجل ضبط حركة الحياة على الأرض، وكذلك تسخير القمر بتغير شكله لتقسيم الشهر إلى أسابيع وأيام، وتسخير القمر أيضا كوسيلة من وسائل إتمام عمليتي المد والجذر,TAAK_1_13_2
38,Tafsir Ayat Al Konia,399,406,13,4,"Explanation and Elucidation of the Formation of the Earth's Lithosphere: This involves detailing the plates that constitute the Earth's lithosphere, the types of rocks within it, and the diversity of soil types resulting from this, which are suited for various crops and produce of different forms, colors, and distinct tastes. This is a divine miracle, despite the earth being watered with the same water.",1,شرح وبيان تكوين الغلاف الصخرى للأرض، وبيان الألواح التى تكوّن الغلاف الصخرى للأرض، وأنواع الصخور بها، وتباين أنواع التربة الناتجة من كل ذلك ومواءمتها لزراعات ومحاصيل مختلفة الأشكال والألوان والطعوم الخاص بكل منها، والإعجاز الربانى لكل ذلك على الرغم من سقى الأرض بنفس الماء,TAAK_1_13_4
39,Tafsir Ayat Al Konia,407,412,13,8,"Affirmation of Allah's Knowledge (Glorified and Exalted is He) of what every female bears and what the wombs decrease, along with an explanation of the formation of the embryo, the miracle of its creation and growth, all by the decree of our Lord (Glorious and Exalted is He).",1,التأكيد على علم الله (سبحانه وتعالى) بما تحمل كل أنثى وما تغيض به الأرحام، وشرح تكون الجنين، والإعجاز فى تكوينه ونموه، وكل ذلك بتقدير ربنا (جل وعلا),TAAK_1_13_8
40,Tafsir Ayat Al Konia,413,420,13,17,"The Role Played by the Water Cycle Around the Earth: Beginning with its emergence in the form of rain, and explaining how living beings on the earth's surface benefit from the beneficial flowing water. The flood carries its debris on the surface of its water until it deposits it on the sides of the valley, its delta, or once more into the open sea, leaving no trace of it.",1,الدور الذى تلعبه دورة الماء حول الأرض، بداية من انبعاثه من داخلها من خلال فوهات البراكين، ونهاية بنزوله من السحاب فى صورة الأمطار، وشرح كيفية استفادة الأحياء على سطح الأرض بالنافع من الماء الجارى، وكيف يحمل السيل غثاءه فوق سطح مائه حتى يلقى به على جوانب الوادى أو دلتاه الداخلية أو فى عرض البحر مرة أخرى فلا يبقى له أثر,TAAK_1_13_17
41,Tafsir Ayat Al Konia,421,430,13,41,"This refers to the earth's contraction upon itself and the reduction of its size, as well as the slight flattening of the earth at the poles and its slight bulging at the equator.  Additionally, the diminution [can be understood in another context where] the term ""earth"" refers to the dry land upon which we live, and the manner in which it is diminished from its edges through various weathering processes. These processes lead to the fragmentation of elevated parts of mountain slopes, depositing them into plains, thereby leveling the earth's surface. Furthermore, the earth is reduced from its edges by the encroachment of sea waters and coastlines onto the land over extended epochs.",1,شرح عملية إنقاص الأرض من أطرافها، وذلك بمعنى انكماشها على ذاتها وتناقص حجمها، وبمعنى تفلطح الأرض قليلا عند القطبين، وانبعاجها قليلا عند خط الاستواء، كذلك فإن إنقاص الأرض من أطرافها والمقصود بلفظ الأرض هنا اليابسة التى نحيا عليها وكيفية إنقاصها من أطرافها بعوامل التجوية المختلفة والتى تؤدى لتفتت الأجزاء المرتفعة من سفوح الجبال وإلقائها فى السهول، حيث يؤدى ذلك إلى تسوية سطح الأرض، كذلك فإن الأرض تنقص من أطرافها بطغيان مياه البحار والمحيطات على اليابسة,TAAK_1_13_41
42,Tafsir Ayat Al Konia,437,444,15,14-15,"It is emphasized that there are no voids in the heavens, and that the fundamental state of the universe is darkness; an explanation is provided regarding the extent of the daytime layer in relation to the darkness of the universe.",1,التأكيد على أنه ليس هناك فراغات فى السماء، وأن الأصل فى الكون هو الظلمة، وشرح مقدار رقعة طبقة النهار بالنسبة لظلمة الكون,TAAK_1_15_14-15
43,Tafsir Ayat Al Konia,445,450,15,22,"The sending of winds is described, with an explanation of their variation according to different altitudes above the earth's surface. The winds act as pollinators for clouds, gathering water onto the dust particles that rise with them. It is stated that Allah (Glorified and Exalted be He) is the preserver of water in the earth, and in His care for His creation, He established the water cycle around the earth to maintain its quantity.",1,إرسال الرياح، وشرح اختلافها باختلاف الارتفاعات عن سطح الأرض، وكيف تكون الرياح لواقح للسحب لتجمع الماء على ذرات الأتربة المتصاعدة معها، وبيان أن لله (سبحانه وتعالى) هو مُخزن الماء فى الأرض، ولعنايته بما خلق جعل دورة الماء حول الأرض تثبيتا لكميته فيها,TAAK_1_15_22
44,Tafsir Ayat Al Konia,459,464,16,10,"The method of sending down water from the sky is detailed, highlighting Allah's (Exalted is He) blessing upon us by the presence of water on and within the earth, and the numerous benefits thereof; without which, life would not exist on our planet's surface.",1,كيفية إنزال الماء من السماء، وبيان نعمة الله (تعالى) علينا بوجود الماء على سطح الأرض وداخلها، والفوائد العديدة لذلك، والذى بدونه ما كانت توجد حياة على سطح كوكبنا,TAAK_1_16_10
45,Tafsir Ayat Al Konia,465,470,16,13,"Scientific indications are provided regarding the dissemination of various types, forms, and colors of creatures, both living and inanimate, across the earth; and the granting of human beings the ability to distinguish them.",1,الدلالات العلمية عن نشر مختلف أنواع وأشكال وألوان المخلوقات من الأحياء والجمادات فى الأرض، وإعطاء الإنسان القدرة على تمييزها,TAAK_1_16_13
46,Tafsir Ayat Al Konia,471,478,16,15,"The process of mountain formation through deposition is described, whether from volcanic vents or the deposition of colored rocks onto ocean floors and continental margins. The role of mountains as stabilizers on earth is explained, preventing the earth from swaying during its rotation around itself or the sun.",1,كيف كانت عملية تكوين الجبال بالإلقاء، سواء من فوهات البراكين، أو إلقاء الصخور المتلونة فوق قيعان المحيطات فوق حواف القارات، وكيف كان دور الجبال على الأرض من الرواسي التى تمنع ترنح الأرض أثناء دورانها حول نفسها، أو حول الشمس,TAAK_1_16_15
47,Tafsir Ayat Al Konia,479,486,16,26,"Detailed Explanation of the Causes and Mechanisms of Volcanic and Earthquake Activities Volcanic eruptions and earthquakes are interconnected phenomena. A volcanic eruption may be accompanied by a series of seismic tremors, and similarly, earthquakes may be associated with the expulsion of volcanic materials. Both phenomena can also be accompanied by atmospheric disturbances such as hurricanes or storms.",1,تفصيل لسبب وكيفية حدوث عمليتي البراكين والزلازل، وهما عمليتان متلازمتان ؛ لأن ثورة البركان قد تصاحب بعدد من الهزات الأرضية، كما أنه قد تصاحب الزلازل بخروج أقدار من الطفوح البركانية، وكلاهما قد يصاحب بالأعاصير الهوائية، أو العواصف البحرية، أو بهما معا,TAAK_1_16_26
48,Tafsir Ayat Al Konia,487,494,16,66,"Explanation of the Nature of Livestock and Their Astonishing Creation The creation of livestock is remarkable, particularly in their ability to produce milk. This milk primarily consists of proteins, carbohydrates, fats, numerous elements, vitamins, and water—all derived from the animal's food, drink, and blood. The process by which milk is produced involves its emergence from the udders of livestock, between the chyme (partially digested food in the stomach) and the blood.",1,شرح ماهية الأنعام، وكيف كان خلقها المدهش الذى يتيح لها إخراج الألبان، والذى يتكون أساسا من البروتينات والكربوهيدرات والدهون، والعديد من العناصر والفيتامينات والماء ــ كل ذلك يستمد من غذاء الحيوان وشرابه ومن دمه ــ كيف تخرج هذه الألبان من ضروع الأنعام من بين الفرث (وهو الأشياء المأكولة ومنهضمة بعض الشىء فى الكرش) والدم,TAAK_1_16_66
49,Tafsir Ayat Al Konia,495,502,16,68,"Manifestation of Allah's Power in the Creation of the Honeybee Community Allah (Exalted is He) has manifested His power in the creation of the honeybee community, endowing them with a degree of awareness and perception. He has granted them an innate ability to organize highly precise societies and a measure of freedom in choosing the locations of their homes in the mountains.",1,تجلى قدرة الله (تعالى) فى خلق أمة نحل العسل، وإعطاؤها قدرا من الوعى والإدراك، ومنحها المقدرة الفطرية على تنظيم مجتمعات بالغة الدقة، كما منحها قدرا من الحرية فى اختيار مكان بيوتها فى الجبال والأشجار,TAAK_1_16_68
